id,title,description,availability,condition,price,link,image_link,brand,model,year,category
hurricane-237-sundeck-24,Hurricane 237 SunDeck 24',"We asking money only for new model 250 HP 2022 Suzuki engine which paid $24k (check pictures) Boat hull and trailer coming for free. Everything works great. The hull is great condition. Old school built not modern trash. 2022 Suzuki 250HP with only 450 hours (Paid $24000 for new engine in 2023 check pictures for details) with old school reliable 2002 Hurricane 237 SunDeck 24'. Great condition, 50 MPH max speed , 12 People capacity . Great family boat. Sink, Toilet, Bimini top, Front and rear ladder, Trailer included. All has clean titles. Hurry up!!! Don’t miss this great deal!!!",in stock,new,19000 USD,https://www.bocapowersports.com/product-page/hurricane-237-sundeck-24,"https://static.wixstatic.com/media/b4963b_4a84a6719d6b4353a08cfef5223e514c~mv2.png/v1/fit/w_500,h_500,q_90/file.png",Hurricane,237 SunDeck 24',,boat
2005-mako-212-central-console-w-225-honda,2005 Mako 212 Central Console w/225 Honda,"The 2005 Mako 212 Center Console paired with a Honda 225 hp four-stroke outboard is a rugged, deep-V offshore fishing rig. Garmin GPS/Fishfinder, CB Radio. New apostrophe. New T-Top canvas. New wheels. With a solid 8.5-foot beam and 93-gallon fuel capacity, it offers 360-degree fishability and a smooth ride in choppy waters.Key Specs & FeaturesLength: 21' 5""Beam: 8' 6""Dry Weight (Hull): ~3,000 lbsMax HP: 250 hpFuel Capacity: 93 gallonsDeadrise: 20 degreesStandard Features: Built-in insulated fish boxes, leaning post with rod holders, raw water washdown, and a console large enough for a porta-potty or dry https://offerup.com/redirect/?o=c3RvcmFnZS5Ib25kYQ== 225 PerformanceThe Honda BF225 is a popular pairing for this hull, providing reliable VTEC technology for hole-shot acceleration and strong mid-range torque. Cruising speeds typically sit in the 28 to 33 mph range (yielding ~3.5 MPG), with a wide-open throttle (WOT) reaching roughly 45 to 48 mph depending on load and prop https://offerup.com/redirect/?o=c2VsZWN0aW9uLk1hcmtldA== & PricingOn the used market, a 2005 Mako 212 with a Honda 225 usually lists between $ and $ , heavily dependent on engine hours, the condition of the upholstery, and whether a trailer or updated electronics are included",in stock,used,30000 USD,https://www.bocapowersports.com/product-page/2005-mako-212-central-console-w-225-honda,"https://static.wixstatic.com/media/b4963b_00ef1fcd7bba4e57b66bf4f2b8afbe4a~mv2.png/v1/fit/w_500,h_500,q_90/file.png",Mako,212 Central Console,2005,boat
harricane-fun-deck-196-w-yamaha-115hp-320-hours,2011 Hurricane Fun Deck 196 w/Yamaha 115HP 320 hours,"2011 Hurricane Fun Deck 196 w/Yamaha 115HP 320 hoursDo you want family fun?. It’s here. 2011 Hurricane Fun Deck 196 w/Yamaha 115HP four stroke 350 hours. 35mph. What you want : Fishing or Towing wakeboard or just getting sand bar fun. Included :Toilet Two coolers, Trailer 2011 in great condition. Just came from NC Lawerence fish finder. 10 people capacity On a trailer, all works, perfect boat. Price firm",in stock,used,14000 USD,https://www.bocapowersports.com/product-page/harricane-fun-deck-196-w-yamaha-115hp-320-hours,"https://static.wixstatic.com/media/b4963b_3fb0ba2ca1bc4e7d9e6fb65c92bafd3e~mv2.png/v1/fit/w_500,h_500,q_90/file.png",Hurricane,Fun Deck 196,2011,boat
